ID,Pb,Pb_level,Pb_level_cat,Pb +/-,Cu,Cu +/-,Zn,Zn +/-,Ni,Ni +/-,Fe,Fe +/-,Cr,Cr +/-,Mn,Mn +/-,V,V +/-,ID_1,SmokingIndoors,HouseAge,Garden,ExteriorPeeling,InteriorPeeling,Pets,BrickConstruction,RecentRenovation,Housing_1,Housing,HeatingFuel,VacuumFrequency,Response Code,Occupant0_1.LeadExposureOccupation,Occupant0_1.LeadExposureHobby,Hobbies,MainFlooring,VacuumCleanerUsedOutside
AA0151,21.1,0,Low,1.5,166,4,902,8,37,4,24219,103,56,3,337,4,15,1.5,AA0151,0,30,0,0,0,0,0,1,1991,0,Gas,Monthly or less,,0,0,,tiled,0
AA0150,24.5,0,Low,1.8,384,7,1548,12,65,5,6201,48,135,3,142,3,28,2,AA0150,0,30,0,0,0,1,1,1,1991,0,Electricity,Monthly or less,,0,0,,Wood,1
AA0090,25.1,0,Low,1.8,198,5,529,7,22,4,16158,89,36,2,195,3,30,1.6,AA0090,0,30,0,0,0,1,0,2,1991,0,Electricity,Weekly or more,,0,1,Shooting; Fishing,Carpet,0
AA0319,5.4,0,Low,1,29,2,329,4,10,3,3772,26,14.1,1.6,164,3,7.5,1,AA0319,0,29,0,0,0,0,1,0,1992,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0392,6.8,0,Low,1.3,126,4,244,4,11,3,3462,31,15,2,107,3,22.4,1.9,AA0392,0,29,1,,,1,0,1,1992,0,Gas,Weekly,,0,0,n/a,Carpet,0
AA0200,26.4,0,Low,1.4,144,4,612,6,12,3,6444,38,424,4,199,3,22.1,1.3,AA0200,0,29,1,0,0,0,0,0,1992,0,Gas,Twice a month,,,0,,Carpet,0
AA0048,41,0,Low,3,1288,16,16997,86,194,9,40649,220,339,5,417,6,75,3,AA0048,0,29,1,0,0,0,0,1,1992,0,Gas,Twice a month,,1,1,"Welding, soldering, automotive repair",tiled,0
AA0253,61,0,Low,1.7,210,4,846,7,33,3,6816,39,175,3,187,3,27.5,1.7,AA0253,0,29,0,0,0,0,1,0,1992,0,Gas,Weekly,,0,0,n/a,Wood; tile,0
AA0376,16.9,0,Low,1.5,77,3,483,6,25,4,9898,59,36,2,200,3,26,1.4,AA0376,0,28,1,1,0,1,1,0,1993,0,Gas,Weekly,,0,1,firearms instructor,Carpet; Wood; Tile,0
AA0030,27.3,0,Low,2,201,6,1102,11,80,6,13894,86,78,3,252,4,55.6,2,AA0030,1,28,1,0,0,1,1,1,1993,0,Electricity,Weekly,,0,0,,Wood,0
AA0301,30.4,0,Low,1.6,209,4,1023,8,22,3,6738,43,41.7,1.9,164,3,22.1,1.2,AA0301,0,28,0,0,0,1,1,0,1993,0,Electricity,Twice a month,,0,1,shooting and fishing,Carpet; Wood,0
AA0288,19.9,0,Low,1.3,164,4,894,7,21,3,5206,34,38.1,1.9,159,3,16.8,1.2,AA0288,0,27,1,0,0,0,1,0,1994,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0248,30.5,0,Low,1.5,207,4,2353,13,13,3,7932,45,40,2,252,4,65.9,1.9,AA0248,0,27,0,1,0,1,1,1,1994,0,Electricity,Twice a month,,0,0,n/a,Carpet,0
AA0101,34,0,Low,2,355,8,1496,15,132,7,14589,100,122,3,235,4,67,2,AA0101,0,27,0,0,0,0,0,1,1994,0,Electricity,Weekly or more,,0,0,,Tile,0
AA0442,74,0,Low,3,119,4,422,6,31,4,15753,89,40,2,422,5,37.7,2,AA0442,0,27,1,0,0,1,0,0,1994,0,Gas,Weekly or more,,0,1,"shooting ranges, previous stained glass soldering",Carpet,0
AA0409,4.1,0,Low,1.1,955,9,413,5,17,3,11765,61,19,2,158,3,14.1,1.6,AA0409,0,26,0,1,0,0,0,0,1995,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0298,11.9,0,Low,1.1,37,2,192,3,,,5542,34,20.9,1.7,209,3,16.1,1.1,AA0298,0,26,1,0,0,1,0,0,1995,0,Electricity,Weekly,,0,3,shooting range,Carpet; Vinyl,0
AA0251,23.5,0,Low,1.4,21,2,238,4,13,3,12056,57,27,2,194,3,30.4,1.4,AA0251,1,26,1,0,0,1,1,0,1995,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0394,24.9,0,Low,1.9,105,4,542,7,40,5,6686,52,32,2,168,3,21.4,1.4,AA0394,0,26,1,0,0,1,0,0,1995,0,Gas,Weekly,,0,0,n/a,Carpet,3
AA0104,30.5,0,Low,2,131,5,1054,10,40,5,9660,66,48,2,163,3,41.7,1.6,AA0104,1,26,1,0,0,1,0,1,1995,0,Electricity,Twice a month,,0,0,,Carpet,0
AA0168,37.5,0,Low,1.6,29,2,240,4,88,4,4456,32,108,3,294,4,18.6,1.3,AA0168,0,26,1,0,0,0,0,0,1995,0,Electricity,Twice a month,,0,0,,Carpet,0
AA0261,11.8,0,Low,1.1,58,3,1395,9,64,4,5495,33,51.2,1.9,141,2,12.7,1,AA0261,0,25,1,1,0,1,0,1,1996,0,Electricity,Twice a month,,0,0,n/a,Wood,0
AA0145,19.4,0,Low,1.4,69,3,552,6,21,3,17676,80,102,3,317,4,46.3,1.9,AA0145,0,25,1,0,0,1,0,0,1996,0,Gas,Twice a month,,0,1,welding and brazing,Carpet,0
AA0402,21.5,0,Low,1.3,212,4,671,6,30,3,6074,36,39,2,287,3,32.9,1.8,AA0402,1,25,0,0,0,0,1,0,1996,0,Electricity,Weekly,,1,0,n/a,Wood,0
AA0341,25.2,0,Low,1.5,117,4,723,7,30,3,3478,29,35.3,1.8,99,2,9.8,1.1,AA0341,0,25,1,0,0,0,1,1,1996,0,Electricity,Twice a month,,0,1,fishing,Wood,0
AA0316,27.4,0,Low,1.8,104,4,502,6,33,4,12471,70,94,3,235,4,23.2,1.7,AA0316,0,25,0,0,0,1,1,0,1996,0,Gas,Twice a month,,0,0,n/a,Carpet; Tile,0
AA0152,36,0,Low,2,319,7,1507,14,98,6,14009,91,124,3,210,3,29.2,1.6,AA0152,0,25,0,0,0,0,0,1,1996,0,Electricity,Weekly or more,,0,0,,Wood,0
AA0275,38.2,0,Low,1.6,182,4,1297,9,18,3,20290,87,79,3,453,5,78,2,AA0275,0,25,1,0,0,1,0,1,1996,0,Gas,Weekly,,0,3,shooting range; fishing,Wood,0
AA0045,41,0,Low,3,190,8,1467,18,58,8,12592,112,411,6,314,5,48,3,AA0045,0,25,1,0,0,0,1,0,1996,0,Electricity,Weekly or more,,,0,,Carpet,0
AA0059,58,0,Low,3,480,9,4341,29,63,6,32441,184,72,3,555,6,65,3,AA0059,0,25,0,0,0,0,1,0,1996,0,Gas,Weekly,,0,0,,Wood,3
AA0312,9.5,0,Low,1.2,50,3,496,5,15,3,6270,39,30,2,217,3,17.4,1.3,AA0312,0,24,1,0,0,0,1,0,1997,0,Gas,Weekly,,0,0,n/a,Carpet,0
AA0103,12.7,0,Low,1.3,55,3,396,5,40,4,8166,48,98,3,201,3,33.4,2,AA0103,0,24,0,0,0,0,0,0,1997,0,Electricity,Twice a month,,0,1,fishing,Carpet,0
AA0357,18.9,0,Low,1.4,107,4,848,8,13,3,5485,38,19,2,232,3,65,3,AA0357,0,24,0,0,1,1,0,1,1997,0,Gas,Weekly,,0,0,n/a,Tile,0
AA0270,22.2,0,Low,1.4,98,3,769,7,17,3,5548,37,166,3,145,3,14,1.2,AA0270,0,24,1,0,0,0,1,1,1997,0,Electricity; Gas,Twice a month,,0,0,n/a,Carpet,0
AA0075,25.1,0,Low,1.9,212,6,1322,12,79,5,24162,124,53,2,371,4,50.8,1.8,AA0075,0,24,0,0,0,0,0,0,1997,0,Gas,Twice a month,,0,0,,Carpet; Wood,0
AA0278,31.4,0,Low,1.5,145,4,1680,11,41,4,7744,46,50,2,188,3,21.9,1.7,AA0278,0,24,1,0,0,0,,1,1997,0,Gas,Twice a month,,0,1,"fishing, target shooting in yard",Carpet; Tile,0
AA0338,43.8,0,Low,1.6,59,3,366,5,19,3,10191,52,62,2,372,4,36.6,1.7,AA0338,1,24,0,0,0,0,1,0,1997,0,Electricity,Monthly,,0,0,n/a,Carpet,0
AA0438,13.3,0,Low,1.7,89,4,774,9,18,4,11362,75,142,3,339,4,40.2,1.9,AA0438,0,23,0,0,0,0,0,1,1998,0,Electricity,Twice a month,,,1,Motorcycle repair including soldering wires,Carpet,0
AA0086,14.9,0,Low,1.8,87,4,976,10,38,5,6021,51,388,4,141,3,11.8,1.2,AA0086,0,23,1,0,0,0,1,0,1998,0,Electricity; Gas,Twice a month,,0,0,,Carpet; Wood; Linoleum,0
AA0266,16.5,0,Low,1.4,102,4,1080,9,33,4,8144,49,122,3,179,3,36.4,1.5,AA0266,0,23,1,1,0,0,0,0,1998,0,Electricity; Gas,Twice a month,,0,0,n/a,Carpet; Wood,0
AA0085,19.5,0,Low,1.6,144,4,843,8,35,4,4466,36,232,3,127,3,11.4,1,AA0085,0,23,1,0,0,0,1,0,1998,0,Electricity; Gas,Twice a month,,0,0,,Carpet; Wood; Linoleum,0
AA0083,21.5,0,Low,1.9,102,4,628,8,56,5,5164,46,67,2,136,3,9.6,1.1,AA0083,0,23,1,0,0,0,1,0,1998,0,Electricity; Gas,Twice a month,,0,0,,Carpet; Wood; Linoleum,0
AA0084,36.3,0,Low,1.6,286,5,2094,13,28,4,8943,51,43,2,193,3,26.9,1.8,AA0084,0,23,1,0,0,0,1,0,1998,0,Electricity; Gas,Twice a month,,0,0,,Carpet; Wood; Linoleum,0
AA0044,43,0,Low,2,294,7,894,11,220,8,12696,89,61,3,236,4,32.8,1.7,AA0044,0,23,0,0,0,0,0,0,1998,0,Oil,Weekly or more,,0,0,,Wood,0
AA0209,10.7,0,Low,1.8,107,4,360,6,29,4,3922,37,19.6,2,100,3,21.7,1.3,AA0209,0,22,0,0,0,0,0,0,1999,0,Electricity,Weekly or more,,0,0,,Carpet,0
AA0023,12.4,0,Low,1.6,77,4,866,9,26,4,12362,72,51,2,178,3,27.7,1.4,AA0023,0,22,0,0,1,1,0,0,1999,0,Electricity,Weekly,,0,3,fishing,Wood,0
AA0157,14.3,0,Low,1.3,65,3,305,4,20,3,22358,92,67,3,272,4,47.2,1.8,AA0157,0,22,0,0,0,1,0,1,1999,0,Gas,Weekly or more,,0,0,,Wood,1
AA0281,15.9,0,Low,1.5,135,4,857,8,28,4,8252,51,46,2,165,3,19.5,1.3,AA0281,0,22,0,0,0,0,0,0,1999,0,Gas,Monthly,,0,0,n/a,Wood,0
AA0122,19.3,0,Low,1.5,74,3,163,3,,,8183,49,11.4,2,156,3,32.9,1.4,AA0122,0,22,0,0,1,1,1,1,1999,0,Electricity,Weekly or more,,0,1,Car repair,Carpet,0
AA0362,29.1,0,Low,1.5,454,6,1383,10,64,4,8332,48,75,2,190,3,21.4,1.4,AA0362,0,22,1,0,0,0,0,0,1999,0,Gas,Twice a month,,1,0,n/a,Carpet; Wood; Tile,0
AA0446,46,0,Low,2,205,5,1159,10,35,4,8326,55,66,3,275,3,208,2,AA0446,0,22,0,0,0,0,0,1,1999,0,Gas,Twice a month,,0,0,n/a,Wood,0
AA0162,146,1,High,3,185,4,1023,8,45,4,13609,68,69,3,260,4,84,2,AA0162,0,22,1,0,0,0,0,0,1999,0,Gas,Weekly or more,,,0,,Wood,0
AA0029,205,1,High,4,236,7,1764,16,43,6,17677,113,88,3,343,4,50,2,AA0029,0,22,0,2,0,0,0,0,1999,0,Electricity,Twice a month,,0,0,,Wood,0
AA0107,,,,,,,,,,,,,,,,,,,AA0107,0,22,1,0,0,1,1,0,1999,0,Gas,Weekly or more,,0,0,,Carpet,0
AA0012,45,0,Low,2,2940,22,2174,16,312,9,13923,84,134,3,349,4,28.1,1.5,AA0012,0,21,1,0,0,0,1,0,2000,0,Electricity,Weekly,,0,0,,Carpet,0
AA0283,50.8,0,Low,1.8,87,3,546,6,34,4,19981,87,43,3,388,5,66,2,AA0283,1,21,1,0,0,1,0,1,2000,0,Gas,Monthly,,1,1,lead electrical soldering; Wood finishing solvents and dust,Carpet,1
AA0130,,,,,,,,,,,,,,,,,,,AA0130,0,21,0,0,0,1,,0,2000,0,Electricity,Twice a month,,1,0,,Wood,0
AA0218,9.4,0,Low,1,24.3,2,88,2,,,4086,27,6,1.6,275,3,22.7,1.2,AA0218,0,20,1,0,0,1,0,0,2001,0,Gas,Weekly or more,,0,0,,Carpet,0
AA0197,11,0,Low,2,87,6,324,8,29,7,3768,53,85,3,320,5,33,2,AA0197,0,20,1,0,0,0,0,0,2001,0,Electricity,Weekly or more,,0,0,,Carpet,0
AA0257,13.8,0,Low,1.2,81,3,284,4,,,5147,34,44.4,1.9,152,3,23.1,1.4,AA0257,0,20,0,0,0,1,0,0,2001,0,Electricity,Monthly,,0,3,shooting range,Carpet,0
AA0386,15,0,Low,1.3,62,3,356,5,25,3,7294,43,37,2,202,3,32.8,1.5,AA0386,1,20,0,1,0,1,0,0,2001,0,Electricity,Monthly,,0,1,fishing; lead soldering,Carpet; Linoleum/vinyl,0
AA0166,24,0,Low,2,230,6,6934,39,30,5,22524,130,48,3,232,4,37.2,1.8,AA0166,0,20,1,0,0,0,0,0,2001,0,Gas,Twice a month,,0,0,,Wood,0
AA0092,28,0,Low,2,207,6,1142,12,39,5,12738,84,103,3,222,4,29.6,1.7,AA0092,0,20,0,0,0,0,1,0,2001,0,Electricity,Weekly or more,,0,0,,Wood,0
AA0049,34,0,Low,1.5,37,2,378,5,12,3,7677,44,47,2,165,3,22.5,1.6,AA0049,0,20,1,0,0,0,0,0,2001,0,Gas,Weekly or more,,,0,,Wood,0
AA0323,637,1,High,8,109,6,1171,13,1229,19,11382,85,83,3,254,4,33,3,AA0323,0,20,1,0,0,0,1,1,2001,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0095,7.9,0,Low,1.2,79,3,399,5,26,3,3379,28,9,1.4,65.1,1.9,8.5,0.9,AA0095,0,19,0,0,0,1,0,0,2002,0,Electricity,Weekly or more,,0,0,,Carpet,1
AA0367,11.4,0,Low,1.1,59,3,492,5,,,3309,26,22,1.8,112,3,18.4,1.4,AA0367,0,19,0,0,0,0,0,0,2002,0,Electricity,Weekly,,0,0,n/a,Linoleum/vinyl,0
AA0005,40.4,0,Low,1.9,281,6,3162,18,136,6,11022,65,80,2,194,3,25.5,1.6,AA0005,0,19,1,0,0,1,1,0,2002,0,Electricity,Weekly,,2,3,shooting,Carpet,0
AA0037,163,1,High,4,4555,32,13956,71,964,16,100401,471,404,6,533,7,63,3,AA0037,0,19,0,0,0,1,1,0,2002,0,Electricity,Twice a month,,0,0,,Wood,0
AA0280,8.8,0,Low,1.1,132,3,1426,9,23,3,3017,24,27.7,1.5,84.9,2,15.4,1.2,AA0280,0,18,1,0,0,1,0,0,2003,0,Electricity,Weekly,,0,0,n/a,Wood,0
AA0343,9.1,0,Low,1.6,124,4,626,8,38,5,5360,46,399,5,180,4,22.4,1.6,AA0343,0,18,0,0,0,0,1,0,2003,0,Electricity,Monthly,,0,0,n/a,Carpet; Wood,0
AA0370,14.8,0,Low,1.3,151,4,677,7,19,3,10671,57,43,2,320,4,33.9,1.7,AA0370,0,18,1,0,0,1,0,0,2003,0,Electricity,Twice a month,,0,0,n/a,Wood,1
AA0296,26.6,0,Low,1.3,138,3,373,4,27,3,7585,41,149,3,219,3,21.6,1.4,AA0296,0,18,1,0,0,1,0,0,2003,0,Gas,Weekly,,0,0,n/a,Wood,0
AA0115,33,0,Low,2,887,12,3537,24,80,6,16078,101,43,3,241,4,47,2,AA0115,1,18,1,0,0,1,,0,2003,0,Electricity,Weekly or more,,0,0,,Carpet; TIle,3
AA0268,34.4,0,Low,1.9,98,4,403,6,42,4,9613,62,43,2,196,3,22.5,1.3,AA0268,0,18,0,0,0,1,0,0,2003,0,Gas,Weekly,,0,1,shooting range; fishing; stained glass soldering,Carpet; laminate,0
AA0282,55.2,0,Low,1.7,149,4,698,6,30,3,5958,36,84,2,144,3,16.8,1.3,AA0282,0,18,0,0,0,0,0,0,2003,0,Electricity,Twice a month,,0,0,n/a,Carpet; Wood,0
AA0188,16,0,Low,1.3,95,3,720,6,,,4443,31,55.8,1.8,120,2,17.7,1,AA0188,0,17,0,0,0,0,1,0,2004,0,Gas,Weekly,,0,0,,Wood,0
AA0368,20.8,0,Low,1.4,181,4,2749,14,30,3,5952,37,37.4,1.9,158,3,20.7,1.2,AA0368,0,17,1,0,0,0,0,1,2004,0,Gas,Weekly,,1,1,industrial arts,Carpet,1
AA0290,22.8,0,Low,1.4,67,3,547,6,17,3,10123,53,51,2,366,4,38.3,1.7,AA0290,0,17,0,0,0,0,1,0,2004,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0389,63.2,0,Low,1.9,255,5,1254,9,92,4,21058,88,29,2,280,4,34.8,1.8,AA0389,0,17,1,0,0,0,0,0,2004,0,Gas,Weekly,,1,1,shooting range,Carpet; Wood; tile,0
AA0114,18,0,Low,3,292,10,4147,36,104,9,10186,100,100,4,260,5,40,2,AA0114,0,16,1,,0,1,1,1,2005,0,,Weekly or more,,0,0,,Wood,1
AA0113,18.7,0,Low,1.4,65,3,462,6,22,3,9421,54,46,2,198,3,29.4,1.6,AA0113,0,16,1,0,0,1,0,0,2005,0,Electricity,Twice a month,,0,0,,Carpet,0
AA0326,47,0,Low,1.6,379,5,809,7,60,4,6176,37,172,3,283,3,41,2,AA0326,0,16,0,0,0,1,0,1,2005,0,Gas,Weekly,,0,3,shooting,Carpet; Wood; Linoleum/vinyl; Tile,0
AA0349,10.6,0,Low,1.2,51,3,480,5,9,3,5381,34,29,1.7,211,3,12.6,1.1,AA0349,0,15,0,0,0,1,0,1,2006,0,Gas,Daily,,0,0,n/a,Carpet; Linoleum/vinyl; Tile,0
AA0124,11.2,0,Low,1.2,76,3,590,6,116,4,7416,42,34.7,1.9,133,2,22.7,1.3,AA0124,0,15,0,0,0,1,1,0,2006,0,Electricity,Weekly or more,,0,0,,Carpet,0
AA0015,14.1,0,Low,1.5,70,3,366,5,26,4,14455,78,31,2,257,4,39.2,1.7,AA0015,1,15,0,0,0,1,0,0,2006,0,Electricity,Twice a month,,0,0,,Carpet,0
AA0404,26.7,0,Low,1.7,193,5,500,6,50,4,8943,56,68,2,141,3,18.5,1.5,AA0404,0,15,0,0,0,0,0,0,2006,0,Electricity,Weekly,,0,0,n/a,Wood,0
AA0334,50,0,Low,1.9,662,8,1068,9,198,6,5342,39,68,2,120,3,19.9,1.5,AA0334,0,15,1,0,0,0,0,0,2006,0,Electricity,Weekly,,0,0,n/a,Wood,0
AA0129,1205,1,High,15,275,10,3810,36,140,11,32623,253,136,5,696,9,100,4,AA0129,0,15,0,0,0,0,0,0,2006,0,Electricity,Twice a month,,0,0,,Carpet,0
AA0353,3,0,Low,0.8,13.5,1.5,563,4,,,2661,18,3.8,1.1,48.9,1.5,6.5,0.6,AA0353,0,14,0,0,,1,,0,2007,0,Gas,Monthly,,0,3,shooting,Carpet; Wood; Tile,0
AA0294,11,0,Low,2,177,14,438,13,73,12,2697,52,,,,,,,AA0294,0,14,0,0,0,0,0,0,2007,0,Gas,Weekly,,0,0,n/a,"Carpet, Wood, Tile",0
AA0057,22,0,Low,2,275,8,1093,14,82,7,8110,75,133,4,249,4,33,2,AA0057,0,14,0,0,0,0,,0,2007,0,Gas,Twice a month,,0,0,,Capet; Wood,3
AA0285,64.5,0,Low,1.6,72,2,384,4,13,3,3356,23,46.4,1.6,125,2,16.2,0.8,AA0285,0,14,0,0,0,1,0,0,2007,0,Electricity,Weekly,,0,1,shooting,Carpet,0
AA0300,100,1,High,2,97,3,454,5,37,3,4067,29,29.6,1.6,131,2,12.5,0.9,AA0300,0,14,0,0,0,1,0,0,2007,0,Electricity,Monthly,,0,1,shooting,Carpet,0
AA0406,8.7,0,Low,1.2,36,2,540,5,13,3,7309,42,21.9,1.8,205,3,19.1,1.2,AA0406,0,13,0,0,0,1,0,0,2008,0,Electricity,Weekly,,0,0,n/a,Wood,0
AA0186,33.4,0,Low,1.8,152,4,792,8,64,5,8279,55,50,2,186,3,28.8,1.5,AA0186,0,13,0,0,0,0,1,0,2008,0,Electricity,Twice a month,,0,0,,Carpet;Wood;Tile,0
AA0263,14,0,Low,1.2,74,3,637,6,9,3,3456,26,30,1.6,118,2,22.9,1.5,AA0263,0,12,0,0,0,1,1,1,2009,0,Electricity,Weekly,,0,0,n/a,Carpet; Wood,0
AA0185,41,0,Low,2,455,9,4186,27,51,6,7771,62,160,3,194,3,78,2,AA0185,0,12,0,0,0,0,0,1,2009,0,Gas,Weekly,,0,0,,Carpet;Wood;Tile,0
AA0393,7.1,0,Low,1,55,2,585,5,,,3049,24,26,1.6,101,2,9,0.9,AA0393,0,11,1,0,0,1,1,0,2010,0,Gas,Twice a month,,0,0,n/a,Carpet; Wood,0
AA0102,9.1,0,Low,1.3,64,3,231,4,,,7905,48,37,2,166,3,23.1,1.4,AA0102,1,11,0,0,0,1,1,0,2010,0,Electricity; Gas,Weekly or more,,1,0,,Linoleum/vinyl,0
AA0082,12,0,Low,1.4,95,4,383,5,16,4,9128,56,23.1,1.9,313,4,32.7,1.6,AA0082,0,11,1,0,0,1,1,0,2010,0,Electricity,Weekly or more,,0,0,Shooting,Wood,0
AA0155,13,0,Low,1.8,166,5,1596,14,40,5,13715,87,50,2,316,4,34.3,1.8,AA0155,0,11,1,0,0,0,0,0,2010,0,Electricity,Twice a month,,0,0,,Wood,0
AA0135,13.2,0,Low,1.5,13,3,102,3,,,1760,24,,,60,3,6.5,1.2,AA0135,0,11,0,0,0,1,0,0,2010,0,Electricity,Weekly or more,,0,0,,Wood,0
AA0132,20.2,0,Low,1.5,64,3,375,5,10,3,9498,53,16,2,168,3,25.5,1.4,AA0132,0,11,1,0,0,1,0,1,2010,0,Gas,Weekly or more,,0,0,,Wood,0
AA0193,30,0,Low,2,302,8,631,10,31,6,14601,107,63,3,308,5,45,3,AA0193,0,11,1,0,0,1,0,0,2010,0,Electricity,Weekly or more,,0,0,,Wood,0
AA0021,,,,,27.6,2,247,3,45,3,2003,18,33,1.3,47.7,1.6,3.3,0.7,AA0021,0,11,1,1,0,1,1,0,2010,0,Electricity,Weekly,,0,0,,Carpet; Wood,0
AA0173,9,0,Low,1.2,89,3,648,6,13,3,4060,31,25.4,1.7,109,2,14.2,1.1,AA0173,0,10,1,0,0,0,0,0,2011,0,Gas,Twice a month,,0,0,,Carpet,0
AA0183,11.2,0,Low,1.6,393,7,1786,13,122,6,2740,30,59,2,97,2,13.5,1.1,AA0183,0,10,0,0,0,0,0,1,2011,0,Electricity,Weekly or more,,0,0,,Other,0
AA0008,17,0,Low,3,531,14,1817,24,95,10,10108,114,266,6,463,8,76,4,AA0008,1,10,0,0,0,1,0,0,2011,0,Electricity,Weekly,,0,0,,Wood,0
AA0221,38.7,0,Low,1.8,223,5,1963,13,34,4,10545,60,189,4,214,4,25.7,1.6,AA0221,0,10,1,0,0,0,0,1,2011,0,Gas,Monthly or less,,,0,,Wood,0
AA0160,40.9,0,Low,1.8,122,4,1164,9,38,4,11983,65,160,3,300,4,186,3,AA0160,0,10,1,0,0,1,0,1,2011,0,Gas,Twice a month,,,0,,Wood,0
AA0222,48.6,0,Low,1.9,678,8,591,6,124,5,11809,62,66,2,194,3,27.5,1.5,AA0222,0,10,0,0,0,0,0,0,2011,0,Electricity,Weekly or more,,0,0,,Wood,0
AA0060,53,0,Low,2,169,5,1093,11,18,4,8931,63,669,6,227,4,39,1.5,AA0060,0,10,1,0,0,0,0,0,2011,0,Gas,Weekly,,0,0,,Wood,0
AA0339,5.8,0,Low,1.2,104,3,1681,10,20,3,3456,26,29.3,1.7,106,2,16.9,1.2,AA0339,0,9,0,0,0,1,0,1,2012,0,Electricity,Weekly,,0,3,shooting,Carpet,0
AA0279,28.6,0,Low,1.8,33,3,747,8,,,21684,101,68,3,241,4,30.7,1.6,AA0279,0,9,0,0,0,0,0,0,2012,0,Gas,Weekly,,0,0,n/a,Tile,0
AA0252,31.9,0,Low,1.6,122,4,660,7,33,4,8055,48,83,3,191,3,75.8,1.9,AA0252,0,9,0,0,0,0,0,0,2012,0,Electricity,Twice a month,,0,0,n/a,Carpet; Wood; tile,0
AA0363,44.9,0,Low,1.6,47,3,318,4,16,3,8517,47,48,2,241,3,35.6,1.6,AA0363,0,9,0,0,0,1,1,0,2012,0,Gas,Weekly,,0,1,shooting,Carpet,3
AA0217,8,0,Low,2,94,6,436,9,26,7,6681,72,88,4,256,6,47,2,AA0217,0,8,1,0,0,1,0,0,2013,0,Gas,Weekly or more,,,3,,Other,0
AA0133,8.4,0,Low,1.1,48,2,1758,10,14,3,3841,28,18,1.5,138,2,12.7,1,AA0133,0,8,1,0,0,1,1,0,2013,0,Gas,Twice a month,,0,0,,Linoleum,0
AA0191,70,0,Low,2,107,4,551,7,39,4,20651,102,93,3,431,5,54,3,AA0191,0,8,1,0,0,1,0,1,2013,0,Gas,Twice a month,,,0,,Carpet,0
AA0372,15.5,0,Low,1.4,29,2,265,4,,,6341,42,42,2,172,3,16.6,1.5,AA0372,0,7,0,0,0,0,0,0,2014,0,Gas,Weekly,,0,0,n/a,Wood,0
AA0379,24.4,0,Low,1.7,95,4,858,8,25,4,3214,31,51,2,150,3,15.7,1.2,AA0379,0,7,1,0,0,0,0,0,2014,0,Electricity,Weekly,,0,0,n/a,Wood,3
AA0071,43,0,Low,3,593,12,2596,23,113,8,17481,130,380,6,452,6,47,3,AA0071,0,7,0,0,0,0,0,0,2014,0,Gas,Weekly or more,,,0,,Wood,0
AA0176,,,,,86,8,533,14,65,12,6708,99,174,8,358,10,61,5,AA0176,0,7,1,0,0,0,1,1,2014,0,Gas,Weekly,,0,0,,Tile,
AA0123,11,0,Low,3,53,7,568,13,,,3035,59,90,5,279,7,29,2,AA0123,0,6,1,0,0,1,0,1,2015,0,Gas,Weekly or more,,0,0,,Carpet,1
AA0009,14,0,Low,4,137,12,675,19,48,15,9637,154,187,9,472,13,74,5,AA0009,0,6,0,0,0,0,1,0,2015,0,Gas,Weekly,,0,0,,Carpet,0
AA0010,27,0,Low,2,213,6,7719,41,97,6,10554,74,58,2,197,3,32.7,1.6,AA0010,0,6,1,0,0,0,0,0,2015,0,Electricity,Monthly,,1,1,fishing,Carpet/linoleum/vinyl,3
AA0272,75.1,0,Low,1.8,128,3,614,5,34,3,5295,31,25.1,1.6,101,2,21.5,1.2,AA0272,0,6,1,0,0,0,0,0,2015,0,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0182,8.3,0,Low,0.9,22.9,1.8,217,3,13,2,1665,16,9.2,1.3,46.9,1.7,3.5,0.7,AA0182,0,5,0,0,0,0,0,0,2016,0,Electricity,Twice a month,,0,0,,Carpet; Linoleum,0
AA0146,12,0,Low,4,231,13,818,19,,,5344,98,254,9,383,11,53,5,AA0146,0,5,0,0,0,0,1,1,2016,0,Gas,Twice a month,,0,0,,Wood,3
AA0038,17,0,Low,3,193,9,1125,17,36,8,11506,116,177,5,394,7,66,4,AA0038,0,5,1,0,0,1,1,0,2016,0,Gas,Weekly,,0,0,,Wood,0
AA0267,20.2,0,Low,1.5,36,3,201,4,17,3,15725,76,41,3,398,5,64,2,AA0267,0,5,1,0,0,0,0,0,2016,0,Gas,Weekly,,0,0,n/a,Wood,0
AA0112,29,0,Low,4,245,11,703,16,78,12,10772,135,304,7,480,9,78,4,AA0112,1,5,0,0,0,1,0,1,2016,0,Electricity,Weekly or more,,0,0,,Linoleum/vinyl,0
AA0149,32.9,0,Low,1.8,332,6,1030,9,35,4,5166,39,77,2,86,2,16.4,1.1,AA0149,0,5,1,0,0,0,0,0,2016,0,Electricity,Weekly or more,,0,0,,Wood,0
