ID,Pb,Pb_level,Pb_level_cat,Pb +/-,Cu,Cu +/-,Zn,Zn +/-,Ni,Ni +/-,Fe,Fe +/-,Cr,Cr +/-,Mn,Mn +/-,V,V +/-,ID_1,SmokingIndoors,HouseAge,Garden,ExteriorPeeling,InteriorPeeling,Pets,BrickConstruction,RecentRenovation,Housing_1,Housing,HeatingFuel,VacuumFrequency,Response Code,Occupant0_1.LeadExposureOccupation,Occupant0_1.LeadExposureHobby,Hobbies,MainFlooring,VacuumCleanerUsedOutside
AA0449,39.6,0,Low,1.5,153,4,885,7,23,3,6965,40,60,2,320,4,30.5,1.4,AA0449,0,64,1,1,0,0,,1,1957,2,Electricity,Twice a month,,0,0,n/a,Carpet; cork tile,occassionally
AA0324,21.7,0,Low,1.1,42,2,237,3,9,2,5298,30,34.6,1.7,169,3,13.7,1,AA0324,0,63,1,1,1,1,0,1,1958,2,Electricity,Weekly,,0,0,n/a,Carpet; Linoleum/vinyl,0
AA0074,110,1,High,5,575,15,3694,38,137,11,19852,181,196,6,521,8,83,4,AA0074,0,63,1,1,0,1,1,0,1958,2,Gas,Monthly,,0,0,,Carpet,0
AA0035,50.2,0,Low,1.8,79,3,504,6,31,3,9154,51,56,2,260,4,28.7,1.7,AA0035,0,62,1,0,1,1,1,0,1959,2,Electricity,Twice a month,,0,3,fishing,Carpet,3
AA0175,17.5,0,Low,1.4,327,5,1204,9,39,4,11703,61,46,2,196,3,47.9,1.8,AA0175,0,61,0,0,0,0,,0,1960,1,Electricity,Weekly,,0,0,,Wood,0
AA0383,18.2,0,Low,1.5,59,3,548,7,33,4,3548,32,22,2,103,3,26,2,AA0383,0,60,1,0,1,1,1,1,1961,1,Gas,Weekly,,0,0,n/a,Carpet; Wood; Tile,0
AA0374,24.7,0,Low,1.5,146,4,205,4,39,4,13850,68,46,2,574,5,43.8,1.9,AA0374,0,60,1,1,0,1,1,1,1961,1,Electricity,Weekly,,0,0,n/a,Wood,0
AA0041,30.8,0,Low,1.6,105,4,314,5,330,7,9664,57,21,2,226,4,22.1,1.5,AA0041,0,60,1,0,0,1,1,0,1961,1,Electricity,Weekly,,0,0,,Carpet,1
AA0328,36.3,0,Low,1.9,65,3,396,6,,,8241,55,31.7,2,232,3,29.9,1.5,AA0328,1,60,0,2,1,1,1,0,1961,1,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0388,37.9,0,Low,1.7,27,2,152,3,21,3,16958,80,40,3,350,5,58,2,AA0388,0,60,0,1,0,0,0,0,1961,1,Electricity,Weekly,,0,0,n/a,Carpet,1
AA0040,41.1,0,Low,1.7,141,4,381,5,21,3,11878,61,24,2,346,4,38.4,1.8,AA0040,0,60,1,0,0,1,0,1,1961,1,Electricity,Monthly,,1,1,shooting range,Linoleum/vinyl,0
AA0161,41.8,0,Low,2,158,4,1150,10,35,4,10922,65,46.9,2,204,3,24.6,1.4,AA0161,0,60,1,0,0,1,0,1,1961,1,Gas,Weekly or more,,0,0,,Wood,0
AA0174,82,1,High,2,238,5,876,7,592,9,7050,43,46,2,196,3,21.9,1.4,AA0174,0,60,1,0,1,0,1,1,1961,1,Gas,Twice a month,,0,1,fishing,Wood,0
AA0330,32.3,0,Low,1.4,48,2,194,3,23,3,7792,41,24.6,1.9,263,3,27.9,1.4,AA0330,0,59,1,1,0,1,1,1,1962,1,Electricity,Weekly,,0,0,n/a,Wood,0
AA0260,39,0,Low,1.5,76,3,521,5,15,3,7011,39,29.2,1.9,193,3,27,1.4,AA0260,0,57,0,1,0,1,1,0,1964,1,Electricity,Weekly,,0,0,n/a,Carpet; Wood,0
AA0120,79,0,Low,2,123,4,726,7,24,4,12296,65,42,2,184,3,47,1.6,AA0120,0,57,0,0,1,0,1,0,1964,1,Gas,Twice a month,,0,0,,Carpet,0
AA0053,30.9,0,Low,1.8,396,7,973,9,89,5,12724,70,37,2,339,4,40.6,2,AA0053,0,56,1,0,0,1,1,1,1965,1,Gas,Twice a month,,,0,,Wood,0
AA0096,31,0,Low,2,181,6,801,10,95,7,16515,111,50,3,309,4,33.5,1.8,AA0096,0,56,0,2,0,1,1,0,1965,1,Electricity,Twice a month,,2,0,,Tile,0
AA0397,36.8,0,Low,1.9,143,4,550,7,78,5,6467,46,101,2,160,3,13,1.1,AA0397,0,56,0,0,0,0,1,1,1965,1,Gas,Weekly,,0,0,n/a,Wood,0
AA0070,56.9,0,Low,2,129,4,5679,26,31,4,15791,77,56,2,245,3,55.2,1.9,AA0070,0,56,1,0,0,0,0,1,1965,1,Gas,Weekly or more,,,0,,Wood,0
AA0203,143,1,High,3,150,4,2198,13,25,4,10134,56,29.8,1.9,119,3,15.2,1.3,AA0203,0,56,1,1,0,0,1,1,1965,1,Gas,Twice a month,,,0,,Wood,0
AA0202,352,1,High,7,548,13,6581,50,115,9,19217,153,121,4,369,6,71,3,AA0202,0,56,1,1,0,0,1,1,1965,1,Gas,Twice a month,,,0,,Wood,0
AA0269,28.8,0,Low,1.3,42,2,432,4,10,3,7082,37,28.2,1.8,189,3,16.6,1.2,AA0269,0,55,1,1,0,0,1,0,1966,1,Gas,Weekly,,0,0,n/a,Carpet; tile,0
AA0308,129,1,High,2,76,3,565,6,22,3,10628,53,30,2,243,4,46,2,AA0308,0,55,1,0,0,0,0,1,1966,1,Gas,Weekly,,0,1,avid hunter; shooting,Wood; Tile,0
AA0440,166,1,High,4,2789,26,5499,38,104,8,20283,137,101,4,352,6,180,6,AA0440,0,55,1,1,0,1,0,1,1966,1,Other,Twice a month,,0,0,,Other,0
AA0199,295,1,High,5,349,8,7441,43,73,6,17083,110,146,3,267,4,46,2,AA0199,0,55,0,0,0,0,1,1,1966,1,Gas,Monthly or less,,0,0,,Wood,1
AA0373,21.8,0,Low,1.4,103,3,1359,9,23,3,11334,57,39,2,252,3,18,1.3,AA0373,0,54,1,0,0,1,0,1,1967,1,Electricity,Weekly,,0,0,n/a,Laminate,0
AA0336,25.2,0,Low,1.8,42,3,271,5,17,4,8028,55,28.7,2,186,3,21.7,1.3,AA0336,0,54,0,1,0,1,0,0,1967,1,Gas,Weekly,,0,3,car mechanic,Carpet,0
AA0364,37.3,0,Low,1.6,41,3,223,4,13,3,11886,61,40,2,307,4,42.4,1.8,AA0364,0,53,0,0,0,1,1,0,1968,1,Electricity,Twice a month,,0,0,n/a,Wood,0
AA0022,38.2,0,Low,1.7,61,3,274,4,13,3,10374,56,39,2,268,3,27.8,1.4,AA0022,1,53,0,1,0,1,1,0,1968,1,Electricity,Weekly,,0,0,,Wood,0
AA0116,37,0,Low,4,436,13,1575,22,86,11,11110,123,245,6,352,7,78,4,AA0116,0,52,0,0,0,0,0,0,1969,1,Electricity,Weekly or more,,2,0,,Tile,0
AA0126,14,0,Low,3,137,7,752,13,28,8,8906,95,74,4,245,6,37,3,AA0126,0,51,1,0,0,1,1,0,1970,1,Electricity,Weekly or more,,1,0,,Carpet,0
AA0068,16.6,0,Low,1.7,94,4,775,8,33,4,9154,61,35,2,201,3,25.6,1.4,AA0068,0,50,0,2,0,1,1,1,1971,1,Electricity,Twice a month,,2,3,,Wood,0
AA0148,21,0,Low,2,529,10,1309,14,211,9,3833,46,89,3,277,5,61.9,1.9,AA0148,1,50,0,0,0,1,1,0,1971,1,Electricity,Weekly or more,,0,0,,Carpet,0
AA0314,21.9,0,Low,1.8,53,3,863,9,21,4,5895,46,39,2,199,3,18.2,1.4,AA0314,0,50,1,0,0,1,0,1,1971,1,Gas,Twice a month,,1,0,shooting,Capet; Vinyl,0
AA0143,31.2,0,Low,1.3,160,3,576,5,13,3,3874,25,41.2,1.6,101.1,2,13.7,1.2,AA0143,0,50,0,0,0,0,1,0,1971,1,Electricity,Monthly or less,,0,0,,tiled,0
AA0395,73,0,Low,3,371,7,1193,12,34,5,12706,82,107,3,252,4,39.5,1.7,AA0395,0,50,1,0,0,0,0,0,1971,1,Gas,Twice a month,,0,0,n/a,Linoleum/vinyl,0
AA0134,153,1,High,2,114,3,472,5,16,3,5410,33,15.6,1.5,137,2,14,1,AA0134,0,50,0,1,0,0,0,0,1971,1,Electricity,Monthly or less,,,0,,Carpet,0
AA0073,1377,1,High,16,966,18,6897,55,171,11,31329,239,180,5,530,7,147,4,AA0073,0,50,1,0,0,0,0,0,1971,1,Gas,Twice a month,,0,0,,Wood,0
AA0286,24.2,0,Low,1.5,172,4,718,7,51,4,8952,50,96,2,160,3,14.9,1.2,AA0286,0,49,0,0,0,0,1,0,1972,1,Electricity,Weekly,,0,0,n/a,Wood,0
AA0359,14.9,0,Low,1.4,28,3,351,5,,,2583,26,25.2,1.8,77,2,19,1.1,AA0359,0,48,1,1,0,0,1,0,1973,1,Electricity,Monthly,,0,0,n/a,Carpet,0
